Caz,2138,4,0,0,0,4,4,0
Avner Ronen   ,10725,1,0,0,0,1,1,0
Garrett Coakley,13630,1,0,0,0,1,1,0
oh no,17673,4,0,0,0,4,4,0
Izzard ,330353,0,0,0,0,1,0,0
Mo McRoberts,582543,1,0,0,0,2,1,0
BBC News (UK),612473,16,0,0,0,32,8,0
Ian D. Sharman,621043,1,0,2,0,1,1,0
BBC News England,622113,0,0,0,0,1,1,0
Kenn™ R    ,634703,4,0,0,0,4,0,0
        ,749003,1,0,0,0,1,1,0
* various bug fixes,750213,4,0,0,0,4,0,0
Shaun King,755113,0,0,0,0,0,4,0
Andrew Wilson,777281,8,0,32,0,32,0,0
Gavin Strange,788250,1,0,0,0,1,1,0
Guardian news,788524,0,0,0,0,0,1,0
(((Rachel Blum))),794186,1,0,0,0,1,0,0
Moussa Daud,797883,0,0,0,0,1,1,0
The Pencil Pusher,798606,0,0,0,0,1,1,0
memeorandum,817652,0,0,0,0,0,2,0
Pam Campbell,823686,1,0,0,0,1,1,0
David Brussin,833151,1,0,0,0,1,1,0
andrew,916101,0,0,0,0,1,0,0
greywulf,1057431,1,0,0,0,1,1,0
Sewell Chan,1198481,1,0,0,0,2,1,0
CampbellX,1217511,1,0,0,0,1,1,0
Mike Masnick,1270191,1,0,0,0,1,0,0
Scott C. Lemon,1326391,0,0,1,0,0,1,0
Fox News,1367531,0,0,0,0,1,1,0
Steve Pettifer       ,1512291,0,0,0,0,1,0,0
Alex Musil,1552571,1,0,0,0,1,0,0
Reuters Top News,1652541,2,0,0,2,2,4,2
Matt Mackowiak,1759181,1,0,1,0,2,1,0
Dr Palm,1814161,1,0,1,0,1,0,0
Andre Lauzon,1816561,1,0,0,0,1,0,0
Simons Calf,1942321,4,0,0,0,8,4,0
Charles Woolbright,1982321,1,0,0,0,1,1,0
Erik Stronks,2333991,0,0,0,0,0,1,0
Tatyanna Wilkinson,2400171,0,0,0,0,0,4,0
Washington Post,2467791,0,0,0,0,0,1,0
Mark W Clark,2503341,1,0,0,1,1,0,1
20 Minutes,2649991,0,0,0,4,0,4,4
Adam Reese,2761821,1,0,0,0,1,1,0
Newsweek,2884771,0,0,0,1,0,1,1
De Telegraaf,2902821,0,0,0,1,0,1,1
NRC,3103641,0,0,0,0,0,1,0
Ioan Serban,3140541,0,0,0,0,0,1,0
Fran J. Saavedra,3176101,1,0,0,0,1,0,0
Sopitas,3362741,0,0,0,2,2,4,2
kuzuri,3375771,0,0,0,0,0,0,0
e.,3991941,0,0,0,0,0,1,0
Anorak,4055701,0,0,0,0,0,4,0
EuphroseneWiseEl,4174131,0,0,0,0,1,1,0
Jan McVeety,4250111,0,0,0,0,0,1,0
marijane white,5157031,1,0,0,0,2,1,0
Amit Kishore,5377542,0,0,0,0,0,1,0
Robin C. McClary,5415352,4,0,0,0,4,2,0
Synelly,5501422,1,0,0,0,2,1,0
FOCUS Online Politik,5550562,0,0,0,0,0,1,0
ben,5553622,1,0,0,0,1,1,0
Liam Daly,5602972,2,0,0,0,2,4,0
Christopher Golds,5612552,4,0,0,0,4,0,0
El Bigote Inkómodo,5631292,0,0,0,0,0,4,0
Newser,5667002,0,0,0,1,0,1,1
Sarah Lacy,5668942,1,0,1,0,1,1,0
tagesschau,5734902,0,0,2,0,0,1,0
John Brissenden,5871082,1,0,0,0,1,0,0
Medie,5883212,4,0,0,0,4,2,0
Turtle Kernt,5886062,0,0,1,0,0,0,0
ST,5907282,0,0,0,0,0,1,0
Richard Lazzara,5972162,0,0,0,0,0,1,0
anita hoffmann,5986942,0,0,0,0,0,1,0
Canoe,6038642,0,0,0,1,1,1,1
Atsushi Nakayama,6059682,0,0,0,0,0,4,0
Prof Patrick McGhee,6120542,0,0,0,0,1,1,0
Gavan Reilly,6133472,0,0,0,0,1,0,0
DW (Español),6135622,0,0,4,0,0,4,0
gordon will,6310182,1,0,0,0,1,1,0
Danny Cheetham,6329202,0,0,0,0,1,0,0
P.A.L Hanssen,6340782,1,0,0,0,1,1,0
Sam G.,6423132,1,0,0,0,1,1,0
Jeff,6489222,1,0,0,0,1,0,0
Neil Turner     ❄️,6498322,4,0,0,0,4,0,0
noticias  venezuela,6529402,0,0,0,0,1,1,0
RTL info,6770022,0,0,0,0,0,1,0
Gazzettino,6831142,0,0,0,1,0,1,1
Jax Blunt,6965382,1,0,0,0,1,1,0
Shannon,7002522,4,0,0,0,4,4,0
Louise,7039242,0,0,2,0,0,0,0
Philippa,7054372,4,0,4,4,4,4,4
Tracey Nichol,7128682,1,0,0,0,1,0,0
Mary Rack,7154912,25,0,0,0,25,15,0
Chris Eller,7177892,1,0,0,0,1,0,0
Thiago Taranto,7187062,1,0,1,0,1,0,0
lavenir.net,7204752,0,0,0,4,0,4,4
Rafaqat MFI,7278922,1,0,4,0,2,1,0
️️,7281882,4,0,0,0,4,4,0
Didier Delmer     ,7344572,9,0,0,3,9,6,3
Marsha Shandur,7397832,1,0,0,0,1,0,0
Reader & Questioner,7438712,0,0,0,0,0,4,0
Annie Heckenberger,7521832,1,0,0,0,1,0,0
Sky News,7587032,6,0,0,0,12,6,0
Cooperativa,7668952,0,0,0,1,0,1,1
Cath Booth,7685912,1,0,2,0,1,1,0
Trialia,7717282,1,0,0,0,1,1,0
Infobae América,7827962,0,0,0,1,0,1,1
Facts Over Feelz,7910732,4,0,0,0,4,0,0
Steve Smith,7913532,1,0,0,0,1,0,0
(((⭐Perilous⭐))),7932082,1,0,0,0,1,0,0
Matthew Morris,7986362,1,0,0,0,1,1,0
Ni Fi,8050042,0,0,0,0,0,1,0
Samrat Chowdhery,8072792,0,0,0,0,0,0,0
Clarín,8105922,0,0,0,4,0,4,4
324.cat,8330472,0,0,0,4,0,4,4
MarcBernstein,8354142,0,0,0,0,0,1,0
Gabiesley Bianco,8519262,4,0,0,0,4,4,0
Native Element,8524102,1,0,0,0,2,1,0
imbou,8572582,0,0,0,0,0,0,0
Torpo,8668422,1,0,0,0,1,0,0
WELT,8720562,0,0,0,1,0,1,1
Ivan,8742892,1,0,0,0,1,0,0
Emily Heath,8791662,4,0,8,0,4,0,0
Detroit Free Press,8795772,0,0,0,0,0,1,0
G1,8802752,0,0,4,2,2,4,2
NBC Nightly News,8839632,0,0,0,0,0,1,0
Mikey,8851772,0,0,0,0,0,1,0
Newsday,8861182,0,0,1,1,1,1,1
Tony Gosling ✈,8863322,2,0,0,0,6,4,0
